Gene_1	Gene_2
RAD51	RP11-484I6.5
RABEP2	UBC
CCT5	GIG46
PSG1	UNQ1941/PRO4424
SMAD3	SMAD5
DAZAP2	RP11-90L1.2
EGFR	PTPRH
ANXA2	UBE3A
CUL3	RP11-432M24.3
ATXN1	R3HDM1
RP1-130E4.1	SMARCA2
APP	RP11-554C12.1
CDK7	HNRNPF
CUL3	UBXN7
DZIP3	RP1-184J9.1
DZIP3	RPRD1A
APP	SYT17
CSNK2A1	HEXIM1
HNRNPF	RP11-1114A5.1
CSNK2A1	WWOX
BM-015	UNQ478/PRO941
APP	RP3-327J16.5
MYH4	WWOX
CALM1	RP23-64E17.3
RP11-173P16.1	VAV2
KLHL24	RP11-168K11.4
BAZ1B	Hsph1
POLR2E	WWOX
APP	PP2464
CARD8	RP11-96K19.1
RP1-85F18.1	SREBF1
TBL1XR1	TBL1Y
DDX23	SUZ12
GPX4	PIN1
KPNB1	U2AF2
FUBP1	PRDX2
RP1-5O6.1	ZSWIM8
HSD3B7	Hoxa1
RRM2B	SRPK2
APP	PRED44
UBC	YKL085W
CLINT1	RP11-187B3.1
KLHL25	KRAS
HSPC231	MCM2
CUL3	DCD
CCT6A	RP11-529I10.3
SF3B3	SUZ12
APP	PNAS-124
HSFY1	RBM47
GCN1L1	SUZ12
CPT1A	RP3-339A18.4
RP4-570L12.1	YWHAE
APP	DTD2
RP5-1103G7.7	SMAD3
DZIP3	RBM4B
LANCL1	MCM2
RP11-395P17.5	YTHDC1
TCF12	TWIST2
ARMC1	UBC
RP11-575L7.1	VCAM1
IGHG1	MCM2
DEK	RP1-85F18.1
PLEC	RABEP1
FKSG27	Setd3
RP11-125A15.2	RP5-1181N3.2
CEBPA	ZBTB16
HIST2H2BE	ZSWIM7
CLNS1A	HSPC057
CA2	RP3-339A18.4
MITF	RP1-85F18.1
GS1-120K12.1	TRIM25
CBX2	HIST1H2BB
PCDHB14	RBMY1A1
CCT6A	PPP2CA
RP11-383C12.1	ZBTB16
APP	COIL
CALM1	PAN2
MAD2L1	RP5-1112D6.1
HSPC322	PRPF31
HNRNPAB	VHL
NSUN2	TUBA4A
CALM1	STAG1
RPL12	UBC
CGI-04	CIRBP
APP	CIAO1
MVP	POT1
HIST2H2BE	RP5-824I19__A.1
EGFR	PRO1608
CCT6B	RP11-54K16.1
HUSSY-27	RP11-5F19.1
KPNB1	PMS2
PIN1	tcag7.1300
GAN	PRPF31
NCOR1	ZBTB33
ARAP1	RP11-307C12.1
EIF3F	UBC
CUL3	FOLR1
MCM2	QARS
APP	STK40
TERF1	ZBTB16
DADB-87H23.3	MATR3
EIF2AK3	PCDHA4
RP11-90L1.2	VHL
LRP5	SCGB1D1
Cdk1	FKSG27
DPYSL2	NTRK1
CD81	HIST2H3C
HIST2H2AC	RRS1
CEP57	TUBA4A
ITGB4	SMAD3
KPNB1	RAD21
PPM1B	RP1-154G14.1
