Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Signaling by NOTCH2	18259	REACTOME	9606	2	32	0.06081050203759795	0.09726175397944341	EP300; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Wnt	15912	NETPATH	9606	4	118	0.06114581274626174	0.0975170289487795	CSNK1E; LRP5; LRP6; MAP3K7; 	CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Removal of licensing factors from origins	12932	REACTOME	9606	3	72	0.061793391653114364	0.09826742798704433	GMNN; MCM2; UBC; 	GMNN|IDBG-65780|ENSG00000112312|51053|; MCM2|IDBG-54871|ENSG00000073111|4171|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Toxoplasmosis	10385	KEGG	9606	4	119	0.06268432653233222	0.09939943207269823	AKT2; JAK2; MAP3K7; TAB1; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Mitotic Prometaphase	12940	REACTOME	9606	4	120	0.06424321390533941	0.10043657385200949	CCNB2; CSNK2A1; MIS12; TUBA4A; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; MIS12|IDBG-21731|ENSG00000167842|79003|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Alpha4 beta1 integrin signaling events	15573	PID NCI	9606	2	33	0.06421621318691614	0.10067796135236853	CD81; IGSF8; 	CD81|IDBG-22455|ENSG00000110651|975|; IGSF8|IDBG-103984|ENSG00000162729|93185|; 
Bioactive peptide induced signaling pathway	4135	PID BIOCARTA	9606	2	33	0.06421621318691614	0.10067796135236853	JAK2; SHC1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Integrin signaling pathway	4024	PID BIOCARTA	9606	2	33	0.06421621318691614	0.10067796135236853	ACTA1; SHC1; 	ACTA1|IDBG-107311|ENSG00000143632|58|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Negative regulators of RIG-I/MDA5 signaling	13013	REACTOME	9606	2	33	0.06421621318691614	0.10067796135236853	CYLD; UBC; 	CYLD|IDBG-30697|ENSG00000083799|102724054,1540|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Chronic myeloid leukemia	582	KEGG	9606	3	74	0.06598538795694064	0.10287047841601701	AKT2; SHC1; SMAD3; 	AKT2|IDBG-51270|ENSG00000105221|208|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD3|IDBG-18366|ENSG00000166949|4088|; 
Angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling	4049	PID BIOCARTA	9606	2	34	0.06768480330185955	0.10463806638588315	EGFR; SHC1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Trefoil factors initiate mucosal healing	4063	PID BIOCARTA	9606	2	34	0.06768480330185955	0.10463806638588315	EGFR; SHC1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription	19264	REACTOME	9606	4	122	0.06742181490189958	0.10481542652816321	CHD3; CHD4; HIST2H2AC; HIST2H2BE; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
Regulation of DNA replication	19523	REACTOME	9606	3	75	0.06812934266158946	0.10503273660328376	GMNN; MCM2; UBC; 	GMNN|IDBG-65780|ENSG00000112312|51053|; MCM2|IDBG-54871|ENSG00000073111|4171|; UBC|IDBG-64029|ENSG00000150991|7316|; 
IRS-mediated signalling	18112	REACTOME	9606	3	76	0.07030483356954012	0.10808637847948689	AKT2; JAK2; PPM1A; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
Signal transduction through il1r	4064	PID BIOCARTA	9606	2	35	0.07121418476849906	0.1082845823192246	MAP3K7; TAB1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
TWEAK	15930	NETPATH	9606	2	35	0.07121418476849906	0.1082845823192246	AKT2; MAP3K7; 	AKT2|IDBG-51270|ENSG00000105221|208|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
Toll-like receptor pathway	3951	PID BIOCARTA	9606	2	35	0.07121418476849906	0.1082845823192246	MAP3K7; TAB1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
