Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Folding of actin by CCT/TriC	13423	REACTOME	9606	7	9	1.4640394383516872E-12	8.125418882851864E-10	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; 
Formation of tubulin folding intermediates by CCT/TriC	13443	REACTOME	9606	8	21	8.733840622895331E-11	2.4236407728534544E-8	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Chromatin modifying enzymes	19015	REACTOME	9606	16	193	2.0600917060161427E-9	1.633358424055656E-7	CHD3; CHD4; EP300; GPS2; HDAC3; HIST2H2AC; HIST2H2BE; JAK2; KDM5D; MBIP; NCOR1; NCOR2; SMARCB1; TBL1X; TBL1XR1; WDR5; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; EP300|IDBG-8992|ENSG00000100393|2033|; GPS2|IDBG-24467|ENSG00000132522|2874|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; JAK2|IDBG-47039|ENSG00000096968|3717|; KDM5D|IDBG-354|ENSG00000012817|8284|; MBIP|IDBG-4937|ENSG00000151332|51562|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; SMARCB1|IDBG-2584|ENSG00000099956|6598|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; WDR5|IDBG-91736|ENSG00000196363|11091|; 
Chromatin organization	18782	REACTOME	9606	16	193	2.0600917060161427E-9	1.633358424055656E-7	CHD3; CHD4; EP300; GPS2; HDAC3; HIST2H2AC; HIST2H2BE; JAK2; KDM5D; MBIP; NCOR1; NCOR2; SMARCB1; TBL1X; TBL1XR1; WDR5; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; EP300|IDBG-8992|ENSG00000100393|2033|; GPS2|IDBG-24467|ENSG00000132522|2874|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; JAK2|IDBG-47039|ENSG00000096968|3717|; KDM5D|IDBG-354|ENSG00000012817|8284|; MBIP|IDBG-4937|ENSG00000151332|51562|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; SMARCB1|IDBG-2584|ENSG00000099956|6598|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; WDR5|IDBG-91736|ENSG00000196363|11091|; 
Prefoldin mediated transfer of substrate  to CCT/TriC	13442	REACTOME	9606	8	27	8.94751413502914E-10	1.6552901149803908E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	18485	REACTOME	9606	8	28	1.2395856601092372E-9	1.7199251034015667E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Association of TriC/CCT with target proteins during biosynthesis	13422	REACTOME	9606	8	29	1.6939538009691863E-9	1.880288719075797E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; 
NOTCH1 Intracellular Domain Regulates Transcription	13296	REACTOME	9606	9	45	3.504255906518179E-9	2.431077535146987E-7	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cellular responses to stress	16723	REACTOME	9606	17	240	6.897708670078607E-9	4.253587013215141E-7	CBX2; DNAJB1; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; POT1; PRDX2; RNF2; SIRT1; SP1; SUZ12; TERF1; TERF2IP; UBC; VHL; YWHAE; 	CBX2|IDBG-71184|ENSG00000173894|84733|; DNAJB1|IDBG-33491|ENSG00000132002|3337|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; PRDX2|IDBG-31024|ENSG00000167815|7001|; RNF2|IDBG-105369|ENSG00000121481|6045|; SIRT1|IDBG-75847|ENSG00000096717|23411|; SP1|IDBG-36616|ENSG00000185591|6667|; SUZ12|IDBG-39777|ENSG00000178691|23512|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; UBC|IDBG-64029|ENSG00000150991|7316|; VHL|IDBG-17819|ENSG00000134086|7428|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
Chaperonin-mediated protein folding	18121	REACTOME	9606	9	49	7.78921443072395E-9	4.323014009051792E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
HDACs deacetylate histones	18573	REACTOME	9606	10	70	1.4169907296545097E-8	7.149362317802298E-7	CHD3; CHD4; GPS2; HDAC3; HIST2H2AC; HIST2H2BE; NCOR1; NCOR2; TBL1X; TBL1XR1; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; GPS2|IDBG-24467|ENSG00000132522|2874|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
AndrogenReceptor	15906	NETPATH	9606	14	164	1.5483492293109748E-8	7.161115185563258E-7	AR; EGFR; EP300; ESR1; FOXA1; NCOA6; NCOR1; NCOR2; NSD1; SIRT1; SMAD3; SP1; SRY; UBE3A; 	AR|IDBG-73722|ENSG00000169083|367|; EGFR|IDBG-16933|ENSG00000146648|1956|; EP300|IDBG-8992|ENSG00000100393|2033|; ESR1|IDBG-97997|ENSG00000091831|2099|; FOXA1|IDBG-5104|ENSG00000129514|3169|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; NSD1|IDBG-59534|ENSG00000165671|64324|; SIRT1|IDBG-75847|ENSG00000096717|23411|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; SRY|IDBG-1|ENSG00000184895|6736|; UBE3A|IDBG-4274|ENSG00000114062|7337|; 
Circadian Clock	13672	REACTOME	9606	9	55	2.2631843205427595E-8	8.971909270723083E-7	CRY2; CSNK1E; EP300; HDAC3; NCOA6; NCOR1; TBL1X; TBL1XR1; UBC; 	CRY2|IDBG-41167|ENSG00000121671|1408|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Protein folding	16650	REACTOME	9606	9	55	2.2631843205427595E-8	8.971909270723083E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Telomere Maintenance	17962	REACTOME	9606	9	64	8.916915714480495E-8	3.299258814357783E-6	HIST2H2AC; HIST2H2BE; HIST3H3; PCNA; POT1; PRIM1; PRIM2; TERF1; TERF2IP; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; PCNA|IDBG-50801|ENSG00000132646|5111|; POT1|IDBG-39151|ENSG00000128513|25913|; PRIM1|IDBG-41538|ENSG00000198056|5557|; PRIM2|IDBG-91619|ENSG00000146143|5558|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; 
Regulation of Telomerase	15864	PID NCI	9606	9	65	1.0241663196864997E-7	3.552576921412546E-6	EGFR; ESR1; POT1; SMAD3; SP1; TERF1; TERF2IP; UBE3A; YWHAE; 	EGFR|IDBG-16933|ENSG00000146648|1956|; ESR1|IDBG-97997|ENSG00000091831|2099|; POT1|IDBG-39151|ENSG00000128513|25913|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; UBE3A|IDBG-4274|ENSG00000114062|7337|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
FBXW7 Mutants and NOTCH1 in Cancer	17874	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH1	19096	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH1 HD Domain Mutants in Cancer	19129	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	18776	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH1 PEST Domain Mutants in Cancer	18501	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH1 in Cancer	17392	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	16917	REACTOME	9606	9	70	1.9768036646174313E-7	3.918307263795266E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
RNF mutants show enhanced WNT signaling and proliferation	19131	REACTOME	9606	14	197	1.571672450413167E-7	4.361391049896538E-6	AKT2; CHD8; CSNK1E; CSNK2A1; CUL3; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; LRP5; LRP6; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TCF dependent signaling in response to WNT	18732	REACTOME	9606	14	197	1.571672450413167E-7	4.361391049896538E-6	AKT2; CHD8; CSNK1E; CSNK2A1; CUL3; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; LRP5; LRP6; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
XAV939 inhibits tankyrase, stabilizing AXIN	19487	REACTOME	9606	14	197	1.571672450413167E-7	4.361391049896538E-6	AKT2; CHD8; CSNK1E; CSNK2A1; CUL3; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; LRP5; LRP6; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling	16943	REACTOME	9606	14	197	1.571672450413167E-7	4.361391049896538E-6	AKT2; CHD8; CSNK1E; CSNK2A1; CUL3; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; LRP5; LRP6; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Wnt signaling pathway	445	KEGG	9606	12	140	1.6789802769512125E-7	4.4373050176567755E-6	CHD8; CSNK1E; CSNK2A1; DAAM2; EP300; LRP5; LRP6; MAP3K7; SMAD3; TBL1X; TBL1XR1; TBL1Y; 	CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; DAAM2|IDBG-86252|ENSG00000146122|23500|; EP300|IDBG-8992|ENSG00000100393|2033|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; SMAD3|IDBG-18366|ENSG00000166949|4088|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TBL1Y|IDBG-67|ENSG00000092377|90665|; 
Downregulation of SMAD2/3:SMAD4 transcriptional activity	13269	REACTOME	9606	6	23	2.945242359916653E-7	5.636584516392215E-6	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; UBC|IDBG-64029|ENSG00000150991|7316|; 
BMAL1:CLOCK,NPAS2 activates circadian gene expression	13670	REACTOME	9606	7	37	3.128535509512354E-7	5.787790692597854E-6	CRY2; EP300; HDAC3; NCOA6; NCOR1; TBL1X; TBL1XR1; 	CRY2|IDBG-41167|ENSG00000121671|1408|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
REV-ERBA represses gene expression	13671	REACTOME	9606	6	24	3.88685671171183E-7	6.958727338709889E-6	EP300; HDAC3; NCOA6; NCOR1; TBL1X; TBL1XR1; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
RORA activates circadian gene expression	13668	REACTOME	9606	6	25	5.062025101682739E-7	8.779449785731001E-6	EP300; HDAC3; NCOA6; NCOR1; TBL1X; TBL1XR1; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
Signaling by WNT in cancer	17000	REACTOME	9606	14	219	5.761417036544789E-7	9.689655925098053E-6	AKT2; CHD8; CSNK1E; CSNK2A1; CUL3; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; LRP5; LRP6; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	18119	REACTOME	9606	7	42	7.782899887926914E-7	1.2704439522939522E-5	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Chromosome Maintenance	17495	REACTOME	9606	9	84	9.65791647128369E-7	1.5314696118749852E-5	HIST2H2AC; HIST2H2BE; HIST3H3; PCNA; POT1; PRIM1; PRIM2; TERF1; TERF2IP; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; PCNA|IDBG-50801|ENSG00000132646|5111|; POT1|IDBG-39151|ENSG00000128513|25913|; PRIM1|IDBG-41538|ENSG00000198056|5557|; PRIM2|IDBG-91619|ENSG00000146143|5558|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; 
