interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
TGIF2LY	DPYSL2	Q8IUE0	Q16555	BioGrid
TBL1Y	DNAJB4	Q9BQ87	Q9UDY4	BioGrid
AKT2	USP9Y	P31751	O00507	BioGrid
TGIF2LY	ANKRD17	Q8IUE0	O75179	BioGrid
TBL1Y	CCT4	Q9BQ87	P50991	BioGrid
TBL1Y	TCP1	Q9BQ87	P17987	BioGrid
TBL1Y	CHD8	Q9BQ87	Q9HCK8	BioGrid
TBL1Y	FBXL18	Q9BQ87	Q96ME1	BioGrid
TBL1Y	CCT5	Q9BQ87	P48643	BioGrid
HSFY1	RAD51	Q96LI6	Q06609	BioGrid
TBL1Y	CCT6B	Q9BQ87	Q92526	BioGrid
TGIF2LY	KLHL24	Q8IUE0	Q6TFL4	BioGrid
TBL1Y	TUBA4A	Q9BQ87	P68366	BioGrid
TBL1Y	TUBB8	Q9BQ87	Q3ZCM7	BioGrid
FAA1	PRY2	[]	O14603	BioGrid
FAA4	PRY2	[]	O14603	BioGrid
CYLD	RPS4Y1	Q9NQC7	P22090	BioGrid
FOXA1	EIF1AY	P55317	O14602	BioGrid
JAK2	HSFY1	O60674	Q96LI6	BioGrid
SMARCB1	HSFY1	Q12824	Q96LI6	BioGrid
ORF21	USP9Y	[]	O00507	BioGrid
MTF1	DDX3Y	Q14872	O15523	BioGrid
DHH1	PRY2	[]	O14603	BioGrid
HRP1	RBMY1F	P35125	Q15415	BioGrid
TAE1	RBMY1F	[]	Q15415	BioGrid
MUD2	RBMY1F	[]	Q15415	BioGrid
BFR1	PRY2	[]	O14603	BioGrid
HNRNPL	NLGN4Y	P14866	Q8NFZ3	BioGrid
HNRNPL	PCDH11Y	P14866	Q9BZA8	BioGrid
MIRLET7B	DDX3Y	[]	O15523	BioGrid
MIRLET7D	DDX3Y	[]	O15523	BioGrid
MIRLET7F1	DDX3Y	[]	O15523	BioGrid
MIRLET7G	DDX3Y	[]	O15523	BioGrid
MIR98	DDX3Y	[]	O15523	BioGrid
MIR7-1	DDX3Y	[]	O15523	BioGrid
MIR7-2	DDX3Y	[]	O15523	BioGrid
MIR15B	DDX3Y	[]	O15523	BioGrid
MIR18B	DDX3Y	[]	O15523	BioGrid
MIR19B2	DDX3Y	[]	O15523	BioGrid
MIR20A	DDX3Y	[]	O15523	BioGrid
MIR25	DDX3Y	[]	O15523	BioGrid
MIR31	DDX3Y	[]	O15523	BioGrid
MIR34A	DDX3Y	[]	O15523	BioGrid
MIR106A	DDX3Y	[]	O15523	BioGrid
MIR106B	DDX3Y	[]	O15523	BioGrid
MIR107	DDX3Y	[]	O15523	BioGrid
MIR128-2	DDX3Y	[]	O15523	BioGrid
MIR143	DDX3Y	[]	O15523	BioGrid
MIR363	DDX3Y	[]	O15523	BioGrid
KDM5D	KMT2A	Q9BY66	Q03164	BioGrid
PCBP1	DDX3Y	Q15365	O15523	BioGrid
BPY2	MAP1S	O14599	Q66K74	IID
BPY2	UBE3A	O14599	Q05086	IID
CDY1	UBC	Q9Y6F8	P0CG48	IID
CDY1	HIST1H4A	Q9Y6F8	P62805	IID
CDY1	HIST2H2AC	Q9Y6F8	Q16777	IID
CDY1	CDY1	Q9Y6F8	Q9Y6F8	IID
CDY2A	CUL4A	Q9Y6F7	Q13619	IID
DAZ1	DAZAP1	Q9NQZ3	Q96EP5	IID
DAZ1	DZIP1	Q9NQZ3	Q86YF9	IID
DAZ1	DZIP1L	Q9NQZ3	Q8IYY4	IID
DAZ1	PUM2	Q9NQZ3	Q8TB72	IID
DAZ1	DYNLL1	Q9NQZ3	P63167	IID
DAZ1	DAZ1	Q9NQZ3	Q9NQZ3	IID
DAZ1	QKI	Q9NQZ3	Q96PU8	IID
DAZ1	DAZAP2	Q9NQZ3	Q15038	IID
DAZ1	BOLL	Q9NQZ3	Q8N9W6	IID
DAZ1	DZIP3	Q9NQZ3	Q86Y13	IID
DAZ1	DAZL	Q9NQZ3	Q92904	IID
