interactor_1_x	interactor_2_x	interactor_1_uniprot_x	interactor_2_uniprot_x	database_x	set_genes	interactor_1_y	interactor_2_y	interactor_1_uniprot_y	interactor_2_uniprot_y	database_y
EP300	SRY	Q09472	Q05066	BioGrid	frozenset({'EP300', 'SRY'})	SRY	EP300	Q05066	Q09472	IID
KPNB1	SRY	Q14974	Q05066	BioGrid	frozenset({'SRY', 'KPNB1'})	SRY	KPNB1	Q05066	Q14974	IID
SRY	HDAC3	Q05066	O15379	BioGrid	frozenset({'SRY', 'HDAC3'})	SRY	HDAC3	Q05066	O15379	IID
POT1	DDX3Y	Q9NUX5	O15523	BioGrid	frozenset({'DDX3Y', 'POT1'})	DDX3Y	POT1	O15523	Q9NUX5	IID
SMAD3	SRY	P84022	Q05066	BioGrid	frozenset({'SRY', 'SMAD3'})	SRY	SMAD3	Q05066	P84022	IID
YWHAQ	TGIF2LY	P27348	Q8IUE0	BioGrid	frozenset({'YWHAQ', 'TGIF2LY'})	TGIF2LY	YWHAQ	Q8IUE0	P27348	IID
SIRT1	USP9Y	Q96EB6	O00507	BioGrid	frozenset({'SIRT1', 'USP9Y'})	USP9Y	SIRT1	O00507	Q96EB6	IID
VHL	DDX3Y	P40337	O15523	BioGrid	frozenset({'DDX3Y', 'VHL'})	DDX3Y	VHL	O15523	P40337	IID
KDM5D	HIST3H3	Q9BY66	Q16695	BioGrid	frozenset({'KDM5D', 'HIST3H3'})	KDM5D	HIST3H3	Q9BY66	Q16695	IID
KDM5D	PCGF6	Q9BY66	Q9BYE7	BioGrid	frozenset({'KDM5D', 'PCGF6'})	KDM5D	PCGF6	Q9BY66	Q9BYE7	IID
SRY	WDR5	Q05066	P61964	BioGrid	frozenset({'SRY', 'WDR5'})	SRY	WDR5	Q05066	P61964	IID
TERF1	RBMY1A1	P54274	P0DJD3	BioGrid	frozenset({'TERF1', 'RBMY1A1'})	RBMY1A1	TERF1	P0DJD3	P54274	IID
TERF1	TMSB4Y	P54274	O14604	BioGrid	frozenset({'TERF1', 'TMSB4Y'})	TMSB4Y	TERF1	O14604	P54274	IID
TERF2IP	TMSB4Y	Q9NYB0	O14604	BioGrid	frozenset({'TERF2IP', 'TMSB4Y'})	TMSB4Y	TERF2IP	O14604	Q9NYB0	IID
